# reading -> a SEQUENCE of codepoints: one reading written with several
# signs, such as MEŠ = 𒈨𒌍. Learned from the gaps between anchors on lines
# whose counts do not match. Kept only above 5 observations and
# 95% confidence. Generated by programs/learn_signmap.py.
# reading	cuneiform	confidence	top_obs	total_obs	unicode_name
𒀹ar	𒀹𒅈	1.000	8	8	2 signs
𒀹ḫa	𒀹𒄩	1.000	8	8	2 signs
𒀹tar	𒀹𒋻	1.000	8	8	2 signs
ABUL	𒆍𒃲	1.000	8	8	2 signs
:	?°?	1.000	8	8	3 signs
x…	▒▒▒▒	1.000	8	8	4 signs
'e	?°?	1.000	8	8	3 signs
GALA	𒍑𒂉	1.000	8	8	2 signs
𒑱zi	𒑱𒍣	1.000	8	8	2 signs
hi	?°?	1.000	7	7	3 signs
ŠES	?°?	1.000	7	7	3 signs
96	96	1.000	7	7	2 signs
š	?°?	1.000	7	7	3 signs
88	88	1.000	7	7	2 signs
𒑱ú	𒑱𒌑	1.000	7	7	2 signs
𒀹pa	𒀹𒉺	1.000	7	7	2 signs
𒑱da	𒑱𒁕	1.000	7	7	2 signs
92	92	1.000	7	7	2 signs
46	46	1.000	7	7	2 signs
ÁB×A	??	1.000	7	7	2 signs
anpé	𒀭𒁉	1.000	7	7	2 signs
TÍLLA	?°?|	1.000	7	7	4 signs
ḪIA	?°?	1.000	7	7	3 signs
𒑱ti	𒑱𒋾	1.000	7	7	2 signs
ḫuš	𒄭𒄊	1.000	7	7	2 signs
NA4	?°?	1.000	7	7	3 signs
:la	?°?	1.000	6	6	3 signs
GEŠPÚ	?°?	1.000	6	6	3 signs
ka₄r	?°?	1.000	6	6	3 signs
NITÁ	?°?	1.000	6	6	3 signs
𒑱kar	𒑱𒋼𒀀	1.000	6	6	3 signs
ra+an	𒊏𒀭	1.000	6	6	2 signs
𒑱pár	𒑱𒁇	1.000	6	6	2 signs
52	52	1.000	6	6	2 signs
43	43	1.000	6	6	2 signs
78	78	1.000	6	6	2 signs
TIBIRA	𒍏𒉄	1.000	6	6	2 signs
𒀹an	𒀹𒀭	1.000	6	6	2 signs
šu	?°?	1.000	6	6	3 signs
ui₅	?°?	1.000	6	6	3 signs
GAMUN	𒁷𒌁	1.000	6	6	2 signs
BAḪAR₅	𒂁𒋡𒁓𒈾	1.000	6	6	4 signs
GIŠKIM	𒅆𒁾	1.000	6	6	2 signs
ašiš	𒀸𒅖	1.000	6	6	2 signs
leq	?°?	1.000	6	6	3 signs
:ḫa	?°?	1.000	5	5	3 signs
:ma	?°?	1.000	5	5	3 signs
49	49	1.000	5	5	2 signs
𒀹ta	𒀹𒋫	1.000	5	5	2 signs
10+n	𒌋▒	1.000	5	5	2 signs
53	53	1.000	5	5	2 signs
géštug	?°?	1.000	5	5	3 signs
95	95	1.000	5	5	2 signs
e	?°?	1.000	5	5	3 signs
𒀹iš	𒀹𒅖	1.000	5	5	2 signs
ḫu	?°?	1.000	5	5	3 signs
MAŠDA	?°?	1.000	5	5	3 signs
wí	?°?	1.000	5	5	3 signs
an?	▒▒▒𒀭	1.000	5	5	4 signs
KAMḪI	?°?	1.000	5	5	3 signs
MD	?°?	1.000	5	5	3 signs
hal	?°?	1.000	5	5	3 signs
wú	?°?	1.000	5	5	3 signs
UP	?°?	1.000	5	5	3 signs
néq	?°?	1.000	5	5	3 signs
