# reading -> cuneiform codepoint, learned from lines where the codepoint
# count equals the sign count. Generated by programs/learn_signmap.py.
# reading	cuneiform	confidence	top_obs	total_obs	unicode_name
IZI	𒉈	1.000	160	160	CUNEIFORM SIGN NE
gul	𒄢	1.000	159	159	CUNEIFORM SIGN GUL
ṣa	𒍝	1.000	157	157	CUNEIFORM SIGN ZA
ḪAB	𒆸	1.000	157	157	CUNEIFORM SIGN LAGAB
U₁₉	𒌷	1.000	155	155	CUNEIFORM SIGN URU
iṣ	𒄑	1.000	154	154	CUNEIFORM SIGN GISH
sú	𒍪	1.000	154	154	CUNEIFORM SIGN ZU
AD	𒀜	1.000	149	149	CUNEIFORM SIGN AD
pur	𒁓	1.000	149	149	CUNEIFORM SIGN BUR
liš	𒇺	0.993	147	148	CUNEIFORM SIGN LISH
TÙ	𒁺	1.000	148	148	CUNEIFORM SIGN DU
AMAR	𒀫	1.000	147	147	CUNEIFORM SIGN AMAR
ÚR	𒌫	1.000	147	147	CUNEIFORM SIGN UR2
DAḪ	𒈭	1.000	146	146	CUNEIFORM SIGN MU OVER MU
IK	𒅅	1.000	144	144	CUNEIFORM SIGN IG
KÉ	𒄀	1.000	144	144	CUNEIFORM SIGN GI
GIGIR	𒇀	1.000	141	141	CUNEIFORM SIGN LAGAB TIMES BAD
ab	𒀊	1.000	140	140	CUNEIFORM SIGN AB
KUŠ₇	𒅖	1.000	136	136	CUNEIFORM SIGN ISH
DIDLI	𒐀	1.000	135	135	CUNEIFORM NUMERIC SIGN TWO ASH
SA	𒊓	1.000	135	135	CUNEIFORM SIGN SA
MUL	𒀯	1.000	135	135	CUNEIFORM SIGN AN THREE TIMES
KA×U	𒆇	0.993	133	134	CUNEIFORM SIGN KA TIMES U
ker	𒄫	1.000	132	132	CUNEIFORM SIGN HA GUNU
ub	𒌒	1.000	132	132	CUNEIFORM SIGN UB
MUR	𒄯	1.000	132	132	CUNEIFORM SIGN HI TIMES ASH2
kà	𒂵	0.992	129	130	CUNEIFORM SIGN GA
NAG	𒅘	1.000	130	130	CUNEIFORM SIGN KA TIMES A
píd	𒁁	1.000	129	129	CUNEIFORM SIGN BAD
ŠIR	𒋓	1.000	129	129	CUNEIFORM SIGN SHIR
GU	𒄖	1.000	128	128	CUNEIFORM SIGN GU
NIR	𒉪	1.000	125	125	CUNEIFORM SIGN NUN OVER NUN
𒉽	𒉽	1.000	125	125	CUNEIFORM SIGN PAP
MAR	𒈥	0.984	123	125	CUNEIFORM SIGN MAR
BÍ	𒉈	1.000	124	124	CUNEIFORM SIGN NE
GIBIL	𒉋	1.000	123	123	CUNEIFORM SIGN NE SHESHIG
BÀR	𒁖	1.000	123	123	CUNEIFORM SIGN DAG
GUR	𒄥	0.992	121	122	CUNEIFORM SIGN GUR
NÍ	𒅎	1.000	122	122	CUNEIFORM SIGN IM
šú	𒋙	1.000	120	120	CUNEIFORM SIGN SHU2
IKU	𒃷	1.000	120	120	CUNEIFORM SIGN GAN2
ÚTUL	𒄰	1.000	119	119	CUNEIFORM SIGN HI TIMES BAD
li₁₂	𒇺	1.000	117	117	CUNEIFORM SIGN LISH
NÍTA	𒀴	0.983	113	115	CUNEIFORM SIGN ARAD
IṢ	𒄑	1.000	114	114	CUNEIFORM SIGN GISH
IG	𒅅	1.000	114	114	CUNEIFORM SIGN IG
GÀR	𒃼	1.000	113	113	CUNEIFORM SIGN GAR3
MUN	𒁵	0.991	112	113	CUNEIFORM SIGN DIM TIMES SHE
GIDIM	𒄇	0.991	110	111	CUNEIFORM SIGN GIDIM
MUŠ	𒈲	1.000	111	111	CUNEIFORM SIGN MUSH
〈aš〉	𒀸	1.000	108	108	CUNEIFORM SIGN ASH
LÍL	𒆤	0.991	107	108	CUNEIFORM SIGN KID
GI₇	𒂠	1.000	107	107	CUNEIFORM SIGN ESH2
PÍ	𒁉	1.000	105	105	CUNEIFORM SIGN BI
si	𒋛	1.000	103	103	CUNEIFORM SIGN SI
NÁ	𒈿	1.000	103	103	CUNEIFORM SIGN NA2
tù	𒁺	0.990	100	101	CUNEIFORM SIGN DU
iq	𒅅	1.000	97	97	CUNEIFORM SIGN IG
tim	𒁴	1.000	97	97	CUNEIFORM SIGN DIM
SÍ	𒍣	1.000	97	97	CUNEIFORM SIGN ZI
GÌN	𒆳	0.989	94	95	CUNEIFORM SIGN KUR
lum	𒈝	1.000	94	94	CUNEIFORM SIGN LUM
SIR	𒋤	1.000	94	94	CUNEIFORM SIGN SUD
ÚS	𒍑	1.000	93	93	CUNEIFORM SIGN USH
PÈŠ	𒈠	1.000	92	92	CUNEIFORM SIGN MA
ug	𒊌	1.000	91	91	CUNEIFORM SIGN PIRIG TIMES UD
NIM	𒉏	0.989	90	91	CUNEIFORM SIGN NIM
ib	𒅁	1.000	90	90	CUNEIFORM SIGN IB
TIR	𒌁	1.000	88	88	CUNEIFORM SIGN TIR
tam	𒌓	1.000	87	87	CUNEIFORM SIGN UD
〈an〉	𒀭	1.000	86	86	CUNEIFORM SIGN AN
em	𒅎	1.000	86	86	CUNEIFORM SIGN IM
sa	𒊓	1.000	86	86	CUNEIFORM SIGN SA
tu₄	𒌈	1.000	85	85	CUNEIFORM SIGN TUM
ÉRIN	𒂟	0.952	80	84	CUNEIFORM SIGN ERIN2
DUGUD	𒂂	1.000	83	83	CUNEIFORM SIGN DUGUD
ket₉	𒃰	1.000	83	83	CUNEIFORM SIGN GAD
DAB	𒁳	1.000	83	83	CUNEIFORM SIGN DIB
BAT	𒁁	1.000	82	82	CUNEIFORM SIGN BAD
Šu	𒋗	0.988	80	81	CUNEIFORM SIGN SHU
ṢÚ	𒍪	1.000	81	81	CUNEIFORM SIGN ZU
SUD	𒋤	1.000	80	80	CUNEIFORM SIGN SUD
SE₂₀	𒍢	1.000	80	80	CUNEIFORM SIGN ZE2
MEŠ	𒈨	0.544	43	79	CUNEIFORM SIGN ME
ZÍ	𒍢	0.987	78	79	CUNEIFORM SIGN ZE2
GEŠTU	𒉿	1.000	79	79	CUNEIFORM SIGN PI
𒑱	𒑱	1.000	78	78	CUNEIFORM PUNCTUATION SIGN VERTICAL COLON
tág	𒁖	1.000	78	78	CUNEIFORM SIGN DAG
ŠEN	𒊿	1.000	78	78	CUNEIFORM SIGN SHEN
AL	𒀠	1.000	77	77	CUNEIFORM SIGN AL
DUR₅	𒀀	0.974	74	76	CUNEIFORM SIGN A
bat	𒁁	1.000	75	75	CUNEIFORM SIGN BAD
su	𒋢	1.000	75	75	CUNEIFORM SIGN SU
ÁB	𒀖	1.000	75	75	CUNEIFORM SIGN AB2
DI₁₂	𒋼	1.000	75	75	CUNEIFORM SIGN TE
BÀD	𒂥	0.986	71	72	CUNEIFORM SIGN EZEN TIMES AN
maš	𒈦	1.000	72	72	CUNEIFORM SIGN MASH
bé	𒁉	1.000	71	71	CUNEIFORM SIGN BI
NÍGIN	𒆸	0.986	70	71	CUNEIFORM SIGN LAGAB
ṢÍ	𒍣	1.000	70	70	CUNEIFORM SIGN ZI
par	𒌓	1.000	69	69	CUNEIFORM SIGN UD
PÉŠ	𒉾	1.000	69	69	CUNEIFORM SIGN PESH2
as	𒊍	1.000	68	68	CUNEIFORM SIGN PIRIG TIMES ZA
GÁN	𒃷	1.000	68	68	CUNEIFORM SIGN GAN2
ŠÈ	𒂠	1.000	68	68	CUNEIFORM SIGN ESH2
gu	𒄖	1.000	66	66	CUNEIFORM SIGN GU
IQ	𒅅	1.000	66	66	CUNEIFORM SIGN IG
KÀ	𒂵	1.000	66	66	CUNEIFORM SIGN GA
DIN	𒁷	0.985	64	65	CUNEIFORM SIGN DIN
KID	𒆤	1.000	65	65	CUNEIFORM SIGN KID
MÁ	𒈣	1.000	64	64	CUNEIFORM SIGN MA2
dá	𒋫	1.000	63	63	CUNEIFORM SIGN TA
AḪ	𒄴	1.000	63	63	CUNEIFORM SIGN HI TIMES NUN
SÁ	𒁲	1.000	63	63	CUNEIFORM SIGN DI
DU₈	𒂃	1.000	63	63	CUNEIFORM SIGN DUH
gur	𒄥	1.000	63	63	CUNEIFORM SIGN GUR
be	𒁁	1.000	62	62	CUNEIFORM SIGN BAD
PAB	𒉽	1.000	62	62	CUNEIFORM SIGN PAP
níš	𒄑	1.000	61	61	CUNEIFORM SIGN GISH
NÉ	𒉌	1.000	61	61	CUNEIFORM SIGN NI
din	𒁷	1.000	60	60	CUNEIFORM SIGN DIN
DUḪ	𒂃	1.000	60	60	CUNEIFORM SIGN DUH
GU₇	𒅥	0.967	58	60	CUNEIFORM SIGN KA TIMES GAR
ṬUR	𒄙	1.000	59	59	CUNEIFORM SIGN GU2 TIMES KAK
qí	𒆠	1.000	59	59	CUNEIFORM SIGN KI
aṣ	𒊍	1.000	57	57	CUNEIFORM SIGN PIRIG TIMES ZA
kaš	𒁉	1.000	57	57	CUNEIFORM SIGN BI
PAN	𒉼	1.000	56	56	CUNEIFORM SIGN PAN
SIG₇	𒅊	1.000	56	56	CUNEIFORM SIGN IGI GUNU
mé	𒈪	1.000	55	55	CUNEIFORM SIGN MI
DIŠ	𒁹	1.000	55	55	CUNEIFORM SIGN DISH
bá	𒉺	1.000	55	55	CUNEIFORM SIGN PA
Ša	𒊭	0.963	52	54	CUNEIFORM SIGN SHA
PAP	𒉽	1.000	54	54	CUNEIFORM SIGN PAP
piš	𒄫	1.000	54	54	CUNEIFORM SIGN HA GUNU
NE	𒉈	1.000	53	53	CUNEIFORM SIGN NE
qa	𒋡	0.981	52	53	CUNEIFORM SIGN SILA3
pi	𒉿	1.000	53	53	CUNEIFORM SIGN PI
ḪÚB	𒄸	1.000	53	53	CUNEIFORM SIGN HUB2
SUḪUR	𒋦	1.000	53	53	CUNEIFORM SIGN SUHUR
tàš	𒀾	1.000	51	51	CUNEIFORM SIGN ASH2
AR	𒅈	0.980	50	51	CUNEIFORM SIGN IGI RI
ṬE₄	𒋼	1.000	50	50	CUNEIFORM SIGN TE
ÉSAG	𒃥	1.000	49	49	CUNEIFORM SIGN GA2 TIMES SHE
ḪUB	𒄽	0.980	48	49	CUNEIFORM SIGN HUB2 TIMES UD
GÚG	𒈖	1.000	49	49	CUNEIFORM SIGN LU3
LÙ	𒈖	1.000	49	49	CUNEIFORM SIGN LU3
nim	𒉏	1.000	48	48	CUNEIFORM SIGN NIM
ṣe	𒍢	1.000	48	48	CUNEIFORM SIGN ZE2
MÈ	𒀞	1.000	48	48	CUNEIFORM SIGN AK TIMES ERIN2
〈〈x〉〉	▒	0.191	9	47	MEDIUM SHADE
TAB	𒋰	1.000	47	47	CUNEIFORM SIGN TAB
ḪAŠḪUR	𒈢	1.000	47	47	CUNEIFORM SIGN MA GUNU
KU₆	𒄩	1.000	47	47	CUNEIFORM SIGN HA
APIN	𒀳	1.000	46	46	CUNEIFORM SIGN APIN
šul	𒂄	1.000	46	46	CUNEIFORM SIGN DUN
TIL	𒁁	1.000	46	46	CUNEIFORM SIGN BAD
PISAN	𒂷	1.000	46	46	CUNEIFORM SIGN GA2
IZ	𒄑	1.000	45	45	CUNEIFORM SIGN GISH
LIŠ	𒇺	1.000	45	45	CUNEIFORM SIGN LISH
eg	𒅅	1.000	45	45	CUNEIFORM SIGN IG
SÀ	𒍝	1.000	45	45	CUNEIFORM SIGN ZA
ḪU	𒄷	1.000	44	44	CUNEIFORM SIGN HU
DE	𒁲	1.000	44	44	CUNEIFORM SIGN DI
tab	𒋰	1.000	44	44	CUNEIFORM SIGN TAB
NIGA	𒊺	1.000	44	44	CUNEIFORM SIGN SHE
BÁR	𒁈	1.000	44	44	CUNEIFORM SIGN BARA2
aq	𒀝	1.000	43	43	CUNEIFORM SIGN AK
ṣi	𒍢	1.000	43	43	CUNEIFORM SIGN ZE2
BURU₁₄	𒂘	1.000	43	43	CUNEIFORM SIGN EN TIMES GAN2
ana	𒁹	1.000	43	43	CUNEIFORM SIGN DISH
tá	𒁕	1.000	42	42	CUNEIFORM SIGN DA
ṭe₄	𒋼	1.000	42	42	CUNEIFORM SIGN TE
qé	𒆠	1.000	42	42	CUNEIFORM SIGN KI
SILIM	𒁲	0.976	41	42	CUNEIFORM SIGN DI
GAZ	𒄤	1.000	41	41	CUNEIFORM SIGN GUM TIMES SHE
lim	𒅆	1.000	41	41	CUNEIFORM SIGN IGI
ḪUM	𒈝	1.000	41	41	CUNEIFORM SIGN LUM
Ḫur	𒄯	1.000	40	40	CUNEIFORM SIGN HI TIMES ASH2
ner	𒉪	1.000	40	40	CUNEIFORM SIGN NUN OVER NUN
qú	𒂉	1.000	40	40	CUNEIFORM SIGN DUR2
SUKKAL	𒈛	0.950	38	40	CUNEIFORM SIGN LUH
de	𒁲	1.000	39	39	CUNEIFORM SIGN DI
SAḪAR	𒅖	1.000	39	39	CUNEIFORM SIGN ISH
is	𒄑	1.000	38	38	CUNEIFORM SIGN GISH
DÌ	𒋾	1.000	38	38	CUNEIFORM SIGN TI
ṣú	𒍪	1.000	38	38	CUNEIFORM SIGN ZU
TAG	𒋳	1.000	38	38	CUNEIFORM SIGN TAG
SIMUG	𒌣	0.974	37	38	CUNEIFORM SIGN UMUM
uq	𒊌	1.000	37	37	CUNEIFORM SIGN PIRIG TIMES UD
miš	𒈩	1.000	37	37	CUNEIFORM SIGN MES
GÙN	𒁯	1.000	37	37	CUNEIFORM SIGN DAR
ÍB	𒌈	0.973	36	37	CUNEIFORM SIGN TUM
gaz	𒄤	1.000	37	37	CUNEIFORM SIGN GUM TIMES SHE
zum	𒍮	1.000	37	37	CUNEIFORM SIGN ZUM
〈	𒀭	0.111	4	36	CUNEIFORM SIGN AN
bar	𒁇	1.000	36	36	CUNEIFORM SIGN BAR
maḫ	𒈤	1.000	36	36	CUNEIFORM SIGN MAH
bal	𒁄	1.000	36	36	CUNEIFORM SIGN BAL
AK	𒀝	1.000	36	36	CUNEIFORM SIGN AK
TAR	𒋻	1.000	36	36	CUNEIFORM SIGN TAR
NAGA	𒉀	1.000	36	36	CUNEIFORM SIGN NAGA
ṭú	𒌅	1.000	35	35	CUNEIFORM SIGN TU
SAL	𒊩	1.000	35	35	CUNEIFORM SIGN SAL
MIT	𒁁	1.000	34	34	CUNEIFORM SIGN BAD
KIR₁₄	𒅯	1.000	34	34	CUNEIFORM SIGN KA TIMES KAK
sà	𒍝	1.000	33	33	CUNEIFORM SIGN ZA
UMBIN	𒌢	1.000	33	33	CUNEIFORM SIGN UMBIN
SIG₄	𒋞	1.000	33	33	CUNEIFORM SIGN SIG4
ANA	𒁹	1.000	32	32	CUNEIFORM SIGN DISH
BUR	𒁓	1.000	32	32	CUNEIFORM SIGN BUR
ÌŠ	𒌍	1.000	31	31	CUNEIFORM SIGN U U U
Ki	𒆠	1.000	31	31	CUNEIFORM SIGN KI
〈na〉	𒈾	1.000	31	31	CUNEIFORM SIGN NA
lú	𒇽	1.000	31	31	CUNEIFORM SIGN LU2
LUḪ	𒈛	0.968	30	31	CUNEIFORM SIGN LUH
KIŠ	𒆧	1.000	31	31	CUNEIFORM SIGN KISH
GURUN	𒄧	1.000	31	31	CUNEIFORM SIGN GURUN
TI₄	𒁲	1.000	30	30	CUNEIFORM SIGN DI
DAGAL	𒂼	1.000	30	30	CUNEIFORM SIGN GA2 TIMES AN
ew	𒉿	1.000	30	30	CUNEIFORM SIGN PI
BALAG	𒁆	1.000	30	30	CUNEIFORM SIGN BALAG
pùš	𒄫	1.000	30	30	CUNEIFORM SIGN HA GUNU
TÀŠ	𒀾	1.000	29	29	CUNEIFORM SIGN ASH2
qà	𒅗	0.966	28	29	CUNEIFORM SIGN KA
áš	𒀾	1.000	29	29	CUNEIFORM SIGN ASH2
DÀRA	𒁰	1.000	29	29	CUNEIFORM SIGN DARA3
ṢE	𒍢	1.000	29	29	CUNEIFORM SIGN ZE2
eb	𒅁	1.000	28	28	CUNEIFORM SIGN IB
dì	𒋾	1.000	28	28	CUNEIFORM SIGN TI
QÉ	𒆠	1.000	28	28	CUNEIFORM SIGN KI
KIR₄	𒅗	1.000	28	28	CUNEIFORM SIGN KA
IR	𒅕	1.000	28	28	CUNEIFORM SIGN IR
ÉLLAG	𒄵	1.000	28	28	CUNEIFORM SIGN HI TIMES SHE
Tu	𒌅	1.000	27	27	CUNEIFORM SIGN TU
UḪ	𒄴	1.000	27	27	CUNEIFORM SIGN HI TIMES NUN
nap	𒀮	1.000	27	27	CUNEIFORM SIGN AN OVER AN
GURUŠ	𒆗	1.000	27	27	CUNEIFORM SIGN KAL
AṢ	𒊍	1.000	27	27	CUNEIFORM SIGN PIRIG TIMES ZA
ZÀ	𒍠	1.000	27	27	CUNEIFORM SIGN ZAG
SÈD	𒈺	1.000	27	27	CUNEIFORM SIGN MUSH3 TIMES A
PÁT	𒁁	1.000	27	27	CUNEIFORM SIGN BAD
IL	𒅋	1.000	26	26	CUNEIFORM SIGN IL
SUR₁₄	𒊕	1.000	26	26	CUNEIFORM SIGN SAG
URAŠ	𒅁	1.000	26	26	CUNEIFORM SIGN IB
ŠAL	𒊩	1.000	26	26	CUNEIFORM SIGN SAL
KUN	𒆲	1.000	26	26	CUNEIFORM SIGN KUN
DU₆	𒇯	1.000	26	26	CUNEIFORM SIGN LAGAR GUNU
tin	𒁷	1.000	26	26	CUNEIFORM SIGN DIN
us	𒊻	1.000	25	25	CUNEIFORM SIGN SHE HU
Mi	𒈪	1.000	25	25	CUNEIFORM SIGN MI
〉	𒌍	0.160	4	25	CUNEIFORM SIGN U U U
Ḫu	𒄷	1.000	25	25	CUNEIFORM SIGN HU
il₅	𒂖	1.000	25	25	CUNEIFORM SIGN EL
tanₓ	𒁷	1.000	25	25	CUNEIFORM SIGN DIN
numun	𒆰	1.000	25	25	CUNEIFORM SIGN KUL
kir	𒄫	1.000	25	25	CUNEIFORM SIGN HA GUNU
Ma	𒈠	0.958	23	24	CUNEIFORM SIGN MA
Ar	𒅈	1.000	24	24	CUNEIFORM SIGN IGI RI
šá	𒃻	1.000	24	24	CUNEIFORM SIGN GAR
u₄	𒌓	1.000	24	24	CUNEIFORM SIGN UD
GI₄	𒄄	1.000	24	24	CUNEIFORM SIGN GI4
ten	𒋼	1.000	24	24	CUNEIFORM SIGN TE
URU₅	𒋽	1.000	24	24	CUNEIFORM SIGN TE GUNU
GAL₉	𒆗	1.000	24	24	CUNEIFORM SIGN KAL
ZUM	𒍮	1.000	24	24	CUNEIFORM SIGN ZUM
UZ₆	𒍚	1.000	24	24	CUNEIFORM SIGN UZ3
MÚRU	𒌘	1.000	24	24	CUNEIFORM SIGN UD TIMES U PLUS U PLUS U GUNU
ŠIM	𒋆	1.000	24	24	CUNEIFORM SIGN SHIM
SU	𒋢	0.958	23	24	CUNEIFORM SIGN SU
ÁŠ	𒀾	1.000	24	24	CUNEIFORM SIGN ASH2
kaz	𒄤	1.000	24	24	CUNEIFORM SIGN GUM TIMES SHE
bí	𒉈	1.000	23	23	CUNEIFORM SIGN NE
ÌR	𒀴	1.000	23	23	CUNEIFORM SIGN ARAD
KA₅	𒈜	1.000	23	23	CUNEIFORM SIGN LUL
ŠUB	𒊒	1.000	23	23	CUNEIFORM SIGN RU
uṭ	𒌓	0.957	22	23	CUNEIFORM SIGN UD
BAPPIR	𒋋	1.000	23	23	CUNEIFORM SIGN SHIM TIMES GAR
bíl	𒉋	1.000	22	22	CUNEIFORM SIGN NE SHESHIG
ṣí	𒍣	1.000	22	22	CUNEIFORM SIGN ZI
PIŠ	𒄫	1.000	22	22	CUNEIFORM SIGN HA GUNU
ŠÁR	𒊹	1.000	22	22	CUNEIFORM SIGN SHAR2
PÌRIG	𒊌	0.955	21	22	CUNEIFORM SIGN PIRIG TIMES UD
ìš	𒌍	1.000	22	22	CUNEIFORM SIGN U U U
NÚ	𒈿	1.000	22	22	CUNEIFORM SIGN NA2
MEŠ₄	𒌍	1.000	22	22	CUNEIFORM SIGN U U U
lì	𒅆	1.000	21	21	CUNEIFORM SIGN IGI
Za	𒍝	1.000	21	21	CUNEIFORM SIGN ZA
ṭa	𒁕	1.000	21	21	CUNEIFORM SIGN DA
ḫat	𒉺	1.000	21	21	CUNEIFORM SIGN PA
rù	𒀸	1.000	21	21	CUNEIFORM SIGN ASH
KALA	𒆗	1.000	21	21	CUNEIFORM SIGN KAL
KISAL	𒆦	1.000	21	21	CUNEIFORM SIGN KISAL
keš	𒆧	1.000	21	21	CUNEIFORM SIGN KISH
ŠENNUR	𒄒	1.000	21	21	CUNEIFORM SIGN GISH CROSSING GISH
eš₁₅	𒅖	1.000	20	20	CUNEIFORM SIGN ISH
gab	𒂃	1.000	20	20	CUNEIFORM SIGN DUH
〈i〉	𒄿	1.000	20	20	CUNEIFORM SIGN I
uṣ	𒊻	1.000	20	20	CUNEIFORM SIGN SHE HU
〈ta〉	𒋫	1.000	20	20	CUNEIFORM SIGN TA
sí	𒍣	1.000	20	20	CUNEIFORM SIGN ZI
TÁ	𒁕	1.000	19	19	CUNEIFORM SIGN DA
Pí	𒁉	1.000	19	19	CUNEIFORM SIGN BI
eq	𒅅	1.000	19	19	CUNEIFORM SIGN IG
AP	𒀊	0.947	18	19	CUNEIFORM SIGN AB
GAN	𒃶	1.000	19	19	CUNEIFORM SIGN GAN
〈iš〉	𒅖	1.000	19	19	CUNEIFORM SIGN ISH
kip	𒄒	1.000	19	19	CUNEIFORM SIGN GISH CROSSING GISH
SÌL	𒋡	1.000	19	19	CUNEIFORM SIGN SILA3
ŠÉŠ	𒋁	1.000	19	19	CUNEIFORM SIGN SHESH2
DIB	𒁳	1.000	18	18	CUNEIFORM SIGN DIB
kúr	𒉽	1.000	18	18	CUNEIFORM SIGN PAP
se	𒋛	1.000	18	18	CUNEIFORM SIGN SI
iṭ	𒀉	1.000	18	18	CUNEIFORM SIGN A2
MAD	𒆳	1.000	18	18	CUNEIFORM SIGN KUR
SIKIL	𒂖	1.000	18	18	CUNEIFORM SIGN EL
NUNUZ	𒉭	1.000	18	18	CUNEIFORM SIGN NUNUZ
2	𒁹	0.500	9	18	CUNEIFORM SIGN DISH
BIL	𒉈	1.000	18	18	CUNEIFORM SIGN NE
kan	𒃶	1.000	18	18	CUNEIFORM SIGN GAN
Rasur	𒊭	0.111	2	18	CUNEIFORM SIGN SHA
Ku	𒂉	1.000	17	17	CUNEIFORM SIGN DUR2
ḪE	𒄭	1.000	17	17	CUNEIFORM SIGN HI
ṭi	𒁲	1.000	17	17	CUNEIFORM SIGN DI
mì	𒈨	1.000	17	17	CUNEIFORM SIGN ME
qáb	𒆏	1.000	17	17	CUNEIFORM SIGN KAB
AQ	𒀝	1.000	17	17	CUNEIFORM SIGN AK
〈a〉	𒀀	1.000	17	17	CUNEIFORM SIGN A
kit₉	𒃰	1.000	17	17	CUNEIFORM SIGN GAD
DU₁₁	𒅗	1.000	17	17	CUNEIFORM SIGN KA
〈nu〉	𒉡	1.000	17	17	CUNEIFORM SIGN NU
pá	𒁀	1.000	17	17	CUNEIFORM SIGN BA
ET	𒀉	1.000	17	17	CUNEIFORM SIGN A2
KÙŠ	𒌑	1.000	17	17	CUNEIFORM SIGN U2
MÌ	𒈨	1.000	17	17	CUNEIFORM SIGN ME
U₄	𒌓	1.000	17	17	CUNEIFORM SIGN UD
KUR₄	𒆸	1.000	17	17	CUNEIFORM SIGN LAGAB
nir	𒉪	1.000	17	17	CUNEIFORM SIGN NUN OVER NUN
DÁ	𒋫	1.000	17	17	CUNEIFORM SIGN TA
LE	𒇷	1.000	17	17	CUNEIFORM SIGN LI
ḫaš	𒋻	1.000	17	17	CUNEIFORM SIGN TAR
ba₄	𒂷	1.000	17	17	CUNEIFORM SIGN GA2
BAR₈	𒂘	1.000	17	17	CUNEIFORM SIGN EN TIMES GAN2
〈ša〉	𒊭	1.000	16	16	CUNEIFORM SIGN SHA
〈ma〉	𒈠	1.000	16	16	CUNEIFORM SIGN MA
aṭ	𒀜	1.000	16	16	CUNEIFORM SIGN AD
MAŠKIM	𒆸	1.000	16	16	CUNEIFORM SIGN LAGAB
BÉ	𒁉	1.000	16	16	CUNEIFORM SIGN BI
rum	𒀸	1.000	16	16	CUNEIFORM SIGN ASH
é	𒂍	1.000	16	16	CUNEIFORM SIGN E2
LÁM	𒉈	1.000	16	16	CUNEIFORM SIGN NE
Ka	𒅗	1.000	15	15	CUNEIFORM SIGN KA
Ta	𒋫	1.000	15	15	CUNEIFORM SIGN TA
Ḫé	𒃶	1.000	15	15	CUNEIFORM SIGN GAN
UKU	𒂇	1.000	15	15	CUNEIFORM SIGN DUN3 GUNU GUNU
〈da〉	𒁕	1.000	15	15	CUNEIFORM SIGN DA
BÁ	𒉺	1.000	15	15	CUNEIFORM SIGN PA
qá	𒂵	1.000	15	15	CUNEIFORM SIGN GA
ṭá	𒋫	1.000	15	15	CUNEIFORM SIGN TA
ti₄	𒁲	1.000	15	15	CUNEIFORM SIGN DI
liq	𒌨	1.000	15	15	CUNEIFORM SIGN UR
AZ	𒊍	1.000	15	15	CUNEIFORM SIGN PIRIG TIMES ZA
〈zi〉	𒍣	0.933	14	15	CUNEIFORM SIGN ZI
ÙR	𒃡	1.000	15	15	CUNEIFORM SIGN GA2 TIMES NUN OVER NUN
ṢI	𒍢	1.000	15	15	CUNEIFORM SIGN ZE2
MÚ	𒊬	1.000	15	15	CUNEIFORM SIGN SAR
lik	𒌨	1.000	15	15	CUNEIFORM SIGN UR
ṢAR	𒇡	1.000	15	15	CUNEIFORM SIGN LAGAB TIMES SUM
NAP	𒀮	0.933	14	15	CUNEIFORM SIGN AN OVER AN
rat	𒋥	1.000	15	15	CUNEIFORM SIGN SUD2
Ḫat	𒉺	1.000	14	14	CUNEIFORM SIGN PA
ṣur	𒀫	1.000	14	14	CUNEIFORM SIGN AMAR
ṭù	𒁺	1.000	14	14	CUNEIFORM SIGN DU
mil	𒅖	1.000	14	14	CUNEIFORM SIGN ISH
lak	𒋃	1.000	14	14	CUNEIFORM SIGN SHID
NAGAR	𒉄	1.000	14	14	CUNEIFORM SIGN NAGAR
ḪAP	𒆸	0.929	13	14	CUNEIFORM SIGN LAGAB
qu	𒄣	1.000	13	13	CUNEIFORM SIGN GUM
Mu	𒈬	1.000	13	13	CUNEIFORM SIGN MU
Zi	𒍣	1.000	13	13	CUNEIFORM SIGN ZI
?	▒	0.154	2	13	MEDIUM SHADE
pe	𒉿	1.000	13	13	CUNEIFORM SIGN PI
〈ši〉	𒅆	1.000	13	13	CUNEIFORM SIGN IGI
ṭì	𒋾	1.000	13	13	CUNEIFORM SIGN TI
lem	𒅆	1.000	13	13	CUNEIFORM SIGN IGI
tan	𒆗	1.000	13	13	CUNEIFORM SIGN KAL
〈ri〉	𒊑	1.000	13	13	CUNEIFORM SIGN RI
〈A〉	𒀀	1.000	13	13	CUNEIFORM SIGN A
GÁB	𒆏	1.000	13	13	CUNEIFORM SIGN KAB
šir	𒋓	0.846	11	13	CUNEIFORM SIGN SHIR
šà	𒊮	1.000	13	13	CUNEIFORM SIGN SHA3
ZAL	𒉌	1.000	13	13	CUNEIFORM SIGN NI
šàm	𒉓	1.000	13	13	CUNEIFORM SIGN NINDA2 TIMES AN
QÚ	𒂉	1.000	13	13	CUNEIFORM SIGN DUR2
BÚN	𒅮	1.000	13	13	CUNEIFORM SIGN KA TIMES IM
TÁM	𒁮	1.000	13	13	CUNEIFORM SIGN DAM
〈〈aš〉〉	𒊭	0.231	3	13	CUNEIFORM SIGN SHA
SIG₅	𒅆	0.385	5	13	CUNEIFORM SIGN IGI
TÚ	𒌓	1.000	13	13	CUNEIFORM SIGN UD
Na	𒈾	1.000	12	12	CUNEIFORM SIGN NA
KIL	𒆸	1.000	12	12	CUNEIFORM SIGN LAGAB
ESI	𒆗	1.000	12	12	CUNEIFORM SIGN KAL
šúm	𒋧	1.000	12	12	CUNEIFORM SIGN SUM
