# reading -> cuneiform codepoint, learned from lines where the codepoint
# count equals the sign count. Generated by programs/learn_signmap.py.
# reading	cuneiform	confidence	top_obs	total_obs	unicode_name
10	𒌋	0.999	3175	3178	CUNEIFORM SIGN U
I	𒄿	0.997	3152	3160	CUNEIFORM SIGN I
nam	𒉆	0.999	3119	3122	CUNEIFORM SIGN NAM
UL	𒌌	0.999	3112	3114	CUNEIFORM SIGN U GUD
GUR₄	𒆸	0.998	2994	3000	CUNEIFORM SIGN LAGAB
en	𒂗	0.999	2960	2964	CUNEIFORM SIGN EN
TI	𒋾	0.999	2956	2959	CUNEIFORM SIGN TI
DUMU	𒌉	0.999	2916	2920	CUNEIFORM SIGN TUR
am	𒄠	0.999	2786	2788	CUNEIFORM SIGN GUD TIMES KUR
iz	𒄑	0.999	2773	2776	CUNEIFORM SIGN GISH
IŠ	𒅖	0.999	2733	2735	CUNEIFORM SIGN ISH
ik	𒅅	0.999	2674	2676	CUNEIFORM SIGN IG
QA	𒋡	0.999	2631	2634	CUNEIFORM SIGN SILA3
TU	𒌅	0.998	2609	2614	CUNEIFORM SIGN TU
pát	𒁁	0.997	2526	2533	CUNEIFORM SIGN BAD
NI	𒉌	0.999	2523	2526	CUNEIFORM SIGN NI
ut	𒌓	0.998	2463	2467	CUNEIFORM SIGN UD
ḫal	𒄬	1.000	2449	2450	CUNEIFORM SIGN HAL
3	𒐈	0.999	2436	2438	CUNEIFORM NUMERIC SIGN THREE DISH
UDU	𒇻	0.998	2387	2391	CUNEIFORM SIGN LU
ak	𒀝	0.999	2353	2356	CUNEIFORM SIGN AK
el	𒂖	0.999	2329	2331	CUNEIFORM SIGN EL
le	𒇷	0.999	2273	2276	CUNEIFORM SIGN LI
šar	𒊬	0.999	2267	2270	CUNEIFORM SIGN SAR
KÙ	𒆬	0.998	2263	2268	CUNEIFORM SIGN KU3
ne	𒉈	1.000	2215	2215	CUNEIFORM SIGN NE
uk	𒊌	1.000	2210	2211	CUNEIFORM SIGN PIRIG TIMES UD
NU	𒉡	0.999	2148	2151	CUNEIFORM SIGN NU
ul	𒌌	0.999	2148	2150	CUNEIFORM SIGN U GUD
EN	𒂗	0.998	2140	2144	CUNEIFORM SIGN EN
KI	𒆠	0.998	2126	2130	CUNEIFORM SIGN KI
zu	𒍪	1.000	2081	2082	CUNEIFORM SIGN ZU
et	𒀉	1.000	2019	2020	CUNEIFORM SIGN A2
ep	𒅁	0.999	2008	2011	CUNEIFORM SIGN IB
ták	𒁖	1.000	2000	2000	CUNEIFORM SIGN DAG
PA	𒉺	0.999	1911	1912	CUNEIFORM SIGN PA
ŠI	𒅆	0.998	1857	1860	CUNEIFORM SIGN IGI
GEŠTIN	𒃾	0.998	1851	1854	CUNEIFORM SIGN GESHTIN
SAG	𒊕	0.998	1829	1832	CUNEIFORM SIGN SAG
pal	𒁄	0.999	1828	1830	CUNEIFORM SIGN BAL
ip	𒅁	0.999	1776	1778	CUNEIFORM SIGN IB
ŠÀ	𒊮	0.996	1752	1759	CUNEIFORM SIGN SHA3
TAM	𒌓	0.999	1751	1753	CUNEIFORM SIGN UD
ME	𒈨	0.998	1726	1730	CUNEIFORM SIGN ME
KAM	𒄰	0.996	1649	1656	CUNEIFORM SIGN HI TIMES BAD
UZU	𒍜	0.999	1628	1630	CUNEIFORM SIGN UZU
BI	𒁉	0.999	1620	1621	CUNEIFORM SIGN BI
